feature,importance
price_per_age,0.38474858
avg_price_model,0.1837591
price_per_mile,0.17013939
id,0.047384493
price_vs_market,0.044142745
model_avg_price,0.04033803
model_price_std,0.03445839
model_median_price,0.03249187
city_mpg,0.007902452
year_avg_price,0.007276543
year,0.006275623
trim_encoded,0.0062453435
fuel_type_encoded,0.004855063
miles,0.0037438804
drive_train_encoded,0.0030418031
doors,0.0029920929
horsepower,0.0029721726
car_age,0.0026237953
highway_mpg,0.0020714405
brand_avg_price,0.0018050255
cylinders,0.0011929988
brand_price_std,0.001055799
miles_per_year,0.0010049188
condition_encoded,0.0010007065
brand_car_count,0.00079370267
year_median_price,0.0007521252
make_model_mileage_encoded,0.0007269413
transmission_encoded,0.0006702653
mileage_range_encoded,0.00052919047
is_hatchback,0.0005181882
make_encoded,0.0005093383
suv_avg_price,0.00034526357
model_encoded,0.00034464858
is_luxury_brand,0.00025166187
brand_median_price,0.00021544614
luxury_brand_avg_price,0.00020726786
is_suv,0.00018740237
body_type_encoded,0.0001864803
exterior_color_encoded,0.00014639432
is_sedan,9.33512e-05
is_sports,0.0
